id,uid,callsign,freq,snr,drift,grid,grid_lat,grid_lon,pwr_dbm,pwr_watt,rpt_grid,rpt_de,rpt_lat,rpt_lon,rpt_distance_km,reported_at,created_at
2106103,c5be586f56b22e66bb1fbcd34bb4203f,LU1ESY,14.0971,-18,0,FG92,-28,-62,43,19.953,GF25vi,CX1TH,-34.6667,-54.25,1025,2020-10-12 19:56:00,2020-10-12 21:15:05
2106104,52e7e6329f678339c1010d4e7284a42f,LU1ESY,14.0972,-26,-1,FG92,-28,-62,43,19.953,GF49,PY3FF,-31,-52,1027,2020-10-12 19:56:00,2020-10-12 21:15:05
2106105,e4c9c8cb06486fc1623a2b39a80feda7,LU1ESY,14.0972,-26,0,FG92,-28,-62,43,19.953,FF55,LU7MT,-35,-70,1089,2020-10-12 19:56:00,2020-10-12 21:15:05
2106106,022c53de2491471d8d0398e8792e3953,LU1ESY,14.0971,-22,0,FG92,-28,-62,43,19.953,GG56tv,PY2GNSDR,-23.125,-48.4167,1364,2020-10-12 19:56:00,2020-10-12 21:15:05
2106107,7e40393850ffc65fdd9fe78e37dfc474,LU1ESY,14.0972,-26,-1,FG92,-28,-62,43,19.953,GG65tv,PY2SDR,-24.125,-46.4167,1515,2020-10-12 19:56:00,2020-10-12 21:15:05
2106108,a3a16d3441d8a6182ec6fd14db46a79c,LU1ESY,14.0972,-26,0,FG92,-28,-62,43,19.953,GF05qi,LU1ESY1,-34.6667,-58.6667,825,2020-10-12 19:56:00,2020-10-12 21:15:05
2106109,0d7eb26f5d1bf30e28d3f860fb8f0e5c,LU1ESY,14.0971,-22,0,FG92,-28,-62,43,19.953,GG56tv,PY2GN,-23.125,-48.4167,1364,2020-10-12 19:56:00,2020-10-12 21:15:05
2106110,36c142107441ee8f0c09b73c1db99b7e,LU1ESY,14.0971,-26,0,FG92,-28,-62,43,19.953,GF49,PY3FF,-31,-52,1027,2020-10-12 18:56:00,2020-10-12 21:15:05
2106111,69df39093919cec67b0b007634387479,LU1ESY,14.0971,-21,0,FG92,-28,-62,43,19.953,GG65tv,PY2SDR,-24.125,-46.4167,1515,2020-10-12 18:56:00,2020-10-12 21:15:05
2106112,d823f7b4d5b50d5276869075550dd67c,LU1ESY,14.097,-17,0,FG92,-28,-62,43,19.953,GG56tv,PY2GNSDR,-23.125,-48.4167,1364,2020-10-12 18:56:00,2020-10-12 21:15:05
2106113,e90b6fe59a3f28344bd9a20da2259d92,LU1ESY,14.0971,-24,0,FG92,-28,-62,43,19.953,FF55,LU7MT,-35,-70,1089,2020-10-12 18:56:00,2020-10-12 21:15:05
2106114,d19a1fa11eca649a4c98fa949f3f3953,LU1ESY,14.097,-23,0,FG92,-28,-62,43,19.953,IB59ui,DP0GVN,-70.6667,-8.33333,5797,2020-10-12 18:56:00,2020-10-12 21:15:05
2106115,79a0a02cb902dd4905a60a733c550d9e,LU1ESY,14.097,-15,0,FG92,-28,-62,43,19.953,GH64cg,PT2FHC,-15.75,-47.8333,1893,2020-10-12 18:56:00,2020-10-12 21:15:05
2106116,9129179631da30f7fb31d5289656277f,LU1ESY,14.097,-17,0,FG92,-28,-62,43,19.953,GG56tv,PY2GN,-23.125,-48.4167,1364,2020-10-12 18:56:00,2020-10-12 21:15:05
2106117,082e741333f84a27ccb1d4044785ed0d,LU1ESY,14.0971,-19,4,FG82,-28,-64,43,19.953,GG56tv,PY2GNSDR,-23.125,-48.4167,1553,2020-10-12 18:36:00,2020-10-12 21:15:05
2106118,a821d984d44ba2045cebd7a5611c013a,LU1ESY,14.0971,-19,4,FG82,-28,-64,43,19.953,GG56tv,PY2GN,-23.125,-48.4167,1553,2020-10-12 18:36:00,2020-10-12 21:15:05
